Dates,logret_rep,logret_dem,SPX Index,Party
7/8/81,-0.00565889,-0.0020707,0.000623636,0
7/9/81,0.006571283,0.002553495,0.007608142,0
7/10/81,-0.001440452,0.00085318,0.00054123,0
7/13/81,0.010152206,0.002652789,0.002084862,0
7/14/81,-0.003968188,-0.003487845,7.71E-05,0
7/15/81,0.012197132,-0.001523844,0.004617169,0
7/16/81,0.00324828,0.004649612,0.00069074,0
7/17/81,0.032720951,0.00686342,0.003217161,0
7/20/81,-0.021400737,-0.011079804,-0.015724079,0
7/21/81,-0.001372163,-0.005995375,-0.00295651,0
7/22/81,-0.016829681,-0.005596336,-0.009472807,0
7/23/81,0.003227927,0.000250507,0.002121558,0
7/24/81,0.014143331,0.008930516,0.008285829,0
7/27/81,0.016138784,0.003265332,0.011147352,0
7/28/81,-0.010774584,-0.005929122,-0.005867836,0
7/29/81,0.002895382,-0.000546116,0.000154859,0
7/30/81,0.010535736,0.004647492,0.006559425,0
7/31/81,0.014401067,0.001923593,0.006975079,0
8/3/81,-0.009500495,-0.002925065,-0.003366491,0
8/4/81,0.006419688,-0.001340201,0.011430438,0
8/5/81,0.004184829,-0.003395256,0.005214446,0
8/6/81,7.03E-06,0.002978738,-0.000226151,0
8/7/81,-0.008423522,-0.005101194,-0.006732504,0
8/10/81,0.001993732,0.00619323,0.005978299,0
8/11/81,0.015236724,0.004921561,0.009835283,0
8/12/81,-0.005080196,0.001797617,-0.003367636,0
8/13/81,-0.006841218,0.001939485,0.000824248,0
8/14/81,-0.003025708,0.0039546,-0.007669211,0
8/17/81,-0.012688965,-0.013041276,-0.009631867,0
8/18/81,-0.010822679,-0.014240867,-0.008495057,0
8/19/81,0.004126728,0.004717965,0.002916349,0
8/20/81,0.006233725,-0.006840823,0.001531511,0
8/21/81,-0.013262261,-0.009892286,-0.011234344,0
8/24/81,-0.038832284,-0.03249583,-0.029288004,0
8/25/81,0.007382874,-0.002014541,0.005007363,0
8/26/81,0.001551145,-0.000448703,-0.009319435,0
8/27/81,-0.011775563,-0.009808804,-0.011671562,0
8/28/81,0.007425748,0.006318443,0.004604394,0
8/31/81,-0.02350826,-0.006722202,-0.01045094,0
9/1/81,0.007874314,-0.002239846,0.001871365,0
9/2/81,0.01207026,0.007623395,0.003813237,0
9/3/81,-0.023902888,-0.008808035,-0.018388129,0
9/4/81,-0.009753138,-0.02050798,-0.009697146,0
9/7/81,0,0,0,0
9/8/81,-0.009897259,-0.014852401,-0.017559787,0
9/9/81,0.00733737,0.005958361,0.003553604,0
9/10/81,0.019721999,0.010657226,0.014589007,0
9/11/81,0.015967503,0.009483757,0.012161474,0
9/14/81,-0.010379772,0.002650862,-0.00784253,0
9/15/81,-0.007502556,0.004108344,-0.007403436,0
9/16/81,-0.002838209,-0.002409397,-0.007542778,0
9/17/81,-0.027268454,-0.004507462,-0.014575294,0
9/18/81,0.001079265,-9.83E-05,-0.007626103,0
9/21/81,-0.001250005,0.003939501,0.008394054,0
9/22/81,-0.000397704,-1.23E-05,-0.004787971,0
9/23/81,-0.006448236,-0.00925596,-0.008866756,0
9/24/81,-0.016130824,0.003527723,-0.005549308,0
9/25/81,-0.018502446,-0.017190476,-0.019668735,0
9/28/81,0.026130932,0.01578781,0.02417989,0
9/29/81,0.00975128,0.019567417,0.003542579,0
9/30/81,-0.003799865,0.004993577,0.002067897,0
10/1/81,0.021861537,0.007963945,0.007716749,0
10/2/81,0.008106556,0.019110824,0.019286675,0
10/5/81,0.006592217,0.005341104,0.001255913,0
10/6/81,0.016982761,0.00138467,-0.001004605,0
10/7/81,0.024441546,0.005982386,0.015953807,0
10/8/81,0.010073641,0.00693075,0.008209553,0
10/9/81,-0.011983147,0.004598207,-0.00705615,0
10/12/81,-0.001569231,0.00201132,-0.001978077,0
10/13/81,-0.005288282,-0.00419705,-0.001899336,0
10/14/81,-0.016997005,-0.004661593,-0.018183836,0
10/15/81,0.010673107,0.001427906,0.007630744,0
10/16/81,-0.007567006,-0.001688768,-0.004353293,0
10/19/81,-0.006239709,0.003092054,-0.001763447,0
10/20/81,0.00829233,0.01003803,0.010866946,0
10/21/81,0.003927663,0.022097686,-0.001497629,0
10/22/81,-0.00944403,-0.004675601,-0.003837495,0
10/23/81,-0.016583075,-0.006030079,-0.008730747,0
10/26/81,-0.010206474,-0.008660786,-0.003716848,0
10/27/81,0.019127389,0.012596141,0.009517865,0
10/28/81,0.002134753,0.000264915,0.00134037,0
10/29/81,-0.009479774,-0.000217295,-0.003270306,0
10/30/81,0.025356529,0.013860871,0.023491431,0
11/2/81,0.022237352,0.027559514,0.018774171,0
11/3/81,-0.004598684,0.004075962,0.004819286,0
