Dates,EXC,F,APTV,STZ,EL,SPWR,CO,WMT,HD,NEE,CSX,MCD,SPG,FSLR,NSC,Party
1974-05-30,0.226004004,0.002474677,,,,,,0.019447526,,0.297347814,,0.020779373,,,,0
1974-05-31,0.228434116,0.002474677,,,,,,0.019447526,,0.303255409,,0.020590456,,,,0
1974-06-03,0.223573849,0.002504564,,,,,,0.019590529,,0.307193696,,0.021298829,,,,0
1974-06-04,0.226004004,0.002516518,,,,,,0.019590529,,0.31507045,,0.021298829,,,,0
1974-06-05,0.226004004,0.002546407,,,,,,0.020019516,,0.324916661,,0.021487745,,,,0
1974-06-06,0.230864301,0.002558362,,,,,,0.020734496,,0.330823928,,0.022148889,,,,0
1974-06-07,0.230864301,0.002546407,,,,,,0.021735469,,0.330823928,,0.022290573,,,,0
1974-06-10,0.233294234,0.002582272,,,,,,0.022593467,,0.336731672,,0.023896249,,,,0
1974-06-11,0.228434116,0.002582272,,,,,,0.021735469,,0.330823928,,0.023235116,,,,0
1974-06-12,0.228434116,0.002570317,,,,,,0.021878459,,0.322947264,,0.023235116,,,,0
1974-06-13,0.226004004,0.002570317,,,,,,0.022307463,,0.319008797,,0.023424,,,,0
1974-06-14,0.221143484,0.002564339,,,,,,0.022593467,,0.303255409,,0.023140661,,,,0
1974-06-17,0.213853225,0.002534452,,,,,,0.022879442,,0.295378745,,0.023329565,,,,0
1974-06-18,0.216283321,0.002528474,,,,,,0.022879442,,0.295378745,,0.022337817,,,,0
1974-06-19,0.213853225,0.002504564,,,,,,0.022879442,,0.283563495,,0.021959994,,,,0
1974-06-20,0.206562713,0.002516518,,,,,,0.022879442,,0.285532594,,0.021629419,,,,0
1974-06-21,0.19927223,0.00249261,,,,,,0.022736467,,0.283563495,,0.020779373,,,,0
1974-06-24,0.196842328,0.00249261,,,,,,0.022307463,,0.275686681,,0.020826578,,,,0
1974-06-25,0.201702401,0.002522497,,,,,,0.022879442,,0.279625058,,0.021062713,,,,0
1974-06-26,0.196842328,0.002498587,,,,,,0.022879442,,0.275686681,,0.018512525,,,,0
1974-06-27,0.206562713,0.002438812,,,,,,0.022307463,,0.269778997,,0.017804135,,,,0
1974-06-28,0.216283321,0.002343171,,,,,,0.022307463,,0.2776559,,0.01808749,,,,0
1974-07-01,0.23815456,0.002349149,,,,,,0.022164479,,0.271748275,,0.018181935,,,,0
1974-07-02,0.23815456,0.002331218,,,,,,0.022021458,,0.265840709,,0.017756904,,,,0
1974-07-03,0.23815456,0.002337195,,,,,,0.022307463,,0.26387167,,0.01808749,,,,0
1974-07-04,0.23815456,0.002337195,,,,,,0.022307463,,0.26387167,,0.01808749,,,,0
1974-07-05,0.23815456,0.002337195,,,,,,0.022307463,,0.26387167,,0.017993039,,,,0
1974-07-08,0.230864301,0.002289375,,,,,,0.022021458,,0.267810047,,0.014498314,,,,0
1974-07-09,0.226004004,0.002289375,,,,,,0.022021458,,0.2776559,,0.014828914,,,,0
1974-07-10,0.221143484,0.002217646,,,,,,0.021878459,,0.271748275,,0.013789938,,,,0
1974-07-11,0.213853225,0.002211668,,,,,,0.022164479,,0.271748275,,0.014640011,,,,0
1974-07-12,0.230864301,0.002289375,,,,,,0.022164479,,0.275686681,,0.016009545,,,,0
1974-07-15,0.218713492,0.002325242,,,,,,0.022307463,,0.273717433,,0.016245687,,,,0
1974-07-16,0.213853225,0.002313286,,,,,,0.022307463,,0.273717433,,0.016151231,,,,0
1974-07-17,0.213853225,0.002355128,,,,,,0.022307463,,0.279625058,,0.01605677,,,,0
1974-07-18,0.208992913,0.002325242,,,,,,0.022879442,,0.275686681,,0.016434576,,,,0
1974-07-19,0.208992913,0.002313286,,,,,,0.023451438,,0.2776559,,0.016529037,,,,0
1974-07-22,0.211422965,0.002307307,,,,,,0.022593467,,0.275686681,,0.016859617,,,,0
1974-07-23,0.226004004,0.002325242,,,,,,0.022593467,,0.287501752,,0.016623488,,,,0
1974-07-24,0.233294234,0.002319261,,,,,,0.022593467,,0.299316883,,0.016623488,,,,0
1974-07-25,0.228434116,0.00227307,,,,,,0.022307463,,0.31507045,,0.016151231,,,,0
1974-07-26,0.221143484,0.00221229,,,,,,0.022307463,,0.307193696,,0.015490072,,,,0
1974-07-29,0.216283321,0.002200137,,,,,,0.022307463,,0.299316883,,0.015301161,,,,0
1974-07-30,0.216283321,0.002145436,,,,,,0.022021458,,0.293409318,,0.015301161,,,,0
1974-07-31,0.218713492,0.002127203,,,,,,0.022307463,,0.283563495,,0.014356644,,,,0
1974-08-01,0.213853225,0.002163669,,,,,,0.022307463,,0.279625058,,0.014545556,,,,0
1974-08-02,0.216283321,0.002145436,,,,,,0.022307463,,0.281594217,,0.014545556,,,,0
1974-08-05,0.223573849,0.002157592,,,,,,0.022021458,,0.273717433,,0.015348386,,,,0
1974-08-06,0.228434116,0.00218798,,,,,,0.022021458,,0.281594217,,0.01605677,,,,0
1974-08-07,0.233294234,0.002224447,,,,,,0.022307463,,0.283563495,,0.016576255,,,,0
1974-08-08,0.243014991,0.002181903,,,,,,0.022450462,,0.281594217,,0.015442833,,,,0
1974-08-09,0.235724673,0.002157592,,,,,,0.022450462,,0.283563495,,0.015537283,,,,0
1974-08-12,0.23815456,0.002096816,,,,,,0.0213065,,0.273717433,,0.015065034,,,,0
1974-08-13,0.233294234,0.002072503,,,,,,0.020877495,,0.271748275,,0.014592777,,,,0
1974-08-14,0.23815456,0.001981338,,,,,,0.019447526,,0.273717433,,0.014451093,,,,0
1974-08-15,0.233294234,0.001963105,,,,,,0.017874571,,0.267810047,,0.014451093,,,,0
1974-08-16,0.228434116,0.001957027,,,,,,0.017445592,,0.267810047,,0.014026062,,,,0
1974-08-19,0.230864301,0.001932716,,,,,,0.017588586,,0.267810047,,0.014214974,,,,0
1974-08-20,0.233294234,0.00195095,,,,,,0.016873596,,0.26387167,,0.014262198,,,,0
1974-08-21,0.228434116,0.001932716,,,,,,0.017588586,,0.26387167,,0.012892644,,,,0
1974-08-22,0.228434116,0.001920561,,,,,,0.017874571,,0.257964045,,0.012089808,,,,0
1974-08-23,0.226004004,0.001914483,,,,,,0.017874571,,0.246148959,,0.011712,,,,0
1974-08-26,0.221671313,0.00189625,,,,,,0.018875545,,0.248118073,,0.012703742,,,,0
1974-08-27,0.214114219,0.001853705,,,,,,0.019304533,,0.236302897,,0.012373162,,,,0
1974-08-28,0.20907633,0.001805083,,,,,,0.019304533,,0.224487796,,0.012609291,,,,0
1974-08-29,0.20151931,0.001811162,,,,,,0.018875545,,0.230395302,,0.012939868,,,,0
1974-08-30,0.206557259,0.001932716,,,,,,0.018875545,,0.234333664,,0.013223235,,,,0
1974-09-02,0.206557259,0.001932716,,,,,,0.018875545,,0.234333664,,0.013223235,,,,0
1974-09-03,0.211595327,0.001908405,,,,,,0.019018544,,0.240241319,,0.012325936,,,,0
1974-09-04,0.206557259,0.001859784,,,,,,0.018875545,,0.234333664,,0.011428644,,,,0
1974-09-05,0.204038471,0.001944871,,,,,,0.019161545,,0.236302897,,0.011853672,,,,0
1974-09-06,0.206557259,0.001963105,,,,,,0.018732542,,0.236302897,,0.011428644,,,,0
1974-09-09,0.20151931,0.001920561,,,,,,0.018732542,,0.236302897,,0.010720252,,,,0
1974-09-10,0.204038471,0.001926639,,,,,,0.018360969,,0.232364595,,0.010909155,,,,0
1974-09-11,0.20151931,0.001932716,,,,,,0.018360969,,0.232364595,,0.011003611,,,,0
1974-09-12,0.206557259,0.001920561,,,,,,0.017356854,,0.226456925,,0.010625805,,,,0
1974-09-13,0.20151931,0.001829394,,,,,,0.016783081,,0.220549449,,0.010248002,,,,0
1974-09-16,0.20151931,0.001859784,,,,,,0.016639637,,0.226456925,,0.011050838,,,,0
