Dates,HON,AMZN,GOOG,CVX,COP,FB,MRO,MRK,C,PYPL,CRM,AXP,QCOM,V,GILD,Party
1974-06-24,0.449270248,,,0.088426776,,,0.310966015,0.408498645,,,,0.264220476,,,,0
1974-06-25,0.452216238,,,0.091332868,,,0.315395623,0.410989523,,,,0.271337628,,,,0
1974-06-26,0.45074302,,,0.089257054,,,0.316281676,0.404139519,,,,0.265999764,,,,0
1974-06-27,0.440431952,,,0.088841908,,,0.316281676,0.399157763,,,,0.257993132,,,,0
1974-06-28,0.438959092,,,0.088841908,,,0.312737793,0.391062677,,,,0.247317478,,,,0
1974-07-01,0.424228966,,,0.089672245,,,0.31716755,0.394798726,,,,0.247317478,,,,0
1974-07-02,0.394768715,,,0.088426776,,,0.309194118,0.383589923,,,,0.24020046,,,,0
1974-07-03,0.400660694,,,0.088426776,,,0.315395623,0.386080742,,,,0.234862596,,,,0
1974-07-04,0.400660694,,,0.088426776,,,0.315395623,0.386080742,,,,0.234862596,,,,0
1974-07-05,0.403606772,,,0.088011637,,,0.314509898,0.379853606,,,,0.231304139,,,,0
1974-07-08,0.391822487,,,0.086351037,,,0.304764301,0.379231155,,,,0.213511452,,,,0
1974-07-09,0.394768715,,,0.085520722,,,0.308308125,0.380476296,,,,0.206394449,,,,0
1974-07-10,0.399187535,,,0.084275268,,,0.306536317,0.37362659,,,,0.19127062,,,,0
1974-07-11,0.396241575,,,0.084690489,,,0.308308125,0.377363026,,,,0.194829136,,,,0
1974-07-12,0.424228966,,,0.087596476,,,0.318939269,0.384212554,,,,0.210842535,,,,0
1974-07-15,0.436013073,,,0.086766236,,,0.326026797,0.383589923,,,,0.213511452,,,,0
1974-07-16,0.434539974,,,0.085105613,,,0.323369116,0.377985448,,,,0.213511452,,,,0
1974-07-17,0.436013073,,,0.084690489,,,0.324255019,0.377363026,,,,0.220628545,,,,0
1974-07-18,0.438959092,,,0.084275268,,,0.332228541,0.386080742,,,,0.224186972,,,,0
1974-07-19,0.45074302,,,0.084275268,,,0.335772306,0.392307699,,,,0.224186972,,,,0
1974-07-22,0.453689337,,,0.085520722,,,0.334000319,0.381099403,,,,0.224186972,,,,0
1974-07-23,0.462527186,,,0.087181337,,,0.337544203,0.378608197,,,,0.238421082,,,,0
1974-07-24,0.461054355,,,0.092993446,,,0.341088057,0.366154164,,,,0.238421082,,,,0
1974-07-25,0.452216238,,,0.092578232,,,0.341088057,0.361172348,,,,0.229524821,,,,0
1974-07-26,0.440431952,,,0.088011637,,,0.338430256,0.353077024,,,,0.225076646,,,,0
1974-07-29,0.434539974,,,0.084690489,,,0.325140864,0.34186855,,,,0.211732194,,,,0
1974-07-30,0.436013073,,,0.085520722,,,0.323369116,0.331282258,,,,0.216180354,,,,0
1974-07-31,0.438989758,,,0.085520722,,,0.320711255,0.333773464,,,,0.206394449,,,,0
1974-08-01,0.427084625,,,0.086766236,,,0.31716755,0.335018605,,,,0.203725487,,,,0
1974-08-02,0.422620416,,,0.086351037,,,0.318939269,0.324432343,,,,0.20016706,,,,0
1974-08-05,0.440477729,,,0.088044174,,,0.323249429,0.325677842,,,,0.202835917,,,,0
1974-08-06,0.449406534,,,0.088044174,,,0.325045317,0.336264104,,,,0.212621823,,,,0
1974-08-07,0.476192087,,,0.089737356,,,0.336718291,0.343736321,,,,0.217959791,,,,0
1974-08-08,0.458335012,,,0.089737356,,,0.330432802,0.332527786,,,,0.209063247,,,,0
1974-08-09,0.456846654,,,0.090160698,,,0.334922731,0.326923341,,,,0.211732194,,,,0
1974-08-12,0.455358535,,,0.088890754,,,0.334024578,0.326300591,,,,0.207284033,,,,0
1974-08-13,0.452382624,,,0.088890754,,,0.324147344,0.317582548,,,,0.19127062,,,,0
